Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (17150611),Russell Westbrook,17150611,PG/G/UTIL,11000,OKC@WAS 04/19/2021 08:00PM ET,WAS,56.12
PF/C,Giannis Antetokounmpo (17150753),Giannis Antetokounmpo,17150753,PF/C/F/UTIL,10600,PHO@MIL 04/19/2021 08:00PM ET,MIL,56.7
SF,Jimmy Butler (17150649),Jimmy Butler,17150649,SF/F/UTIL,9600,HOU@MIA 04/19/2021 08:00PM ET,MIA,46.23
PF/C,Domantas Sabonis (17150849),Domantas Sabonis,17150849,PF/C/F/UTIL,9400,SA@IND 04/19/2021 08:00PM ET,IND,46.95
SG,Bradley Beal (17150725),Bradley Beal,17150725,SG/G/UTIL,9200,OKC@WAS 04/19/2021 08:00PM ET,WAS,46.72
SG,Devin Booker (17150838),Devin Booker,17150838,SG/G/UTIL,8800,PHO@MIL 04/19/2021 08:00PM ET,PHO,39.09
PF/C,Christian Wood (17150775),Christian Wood,17150775,PF/C/F/UTIL,8600,HOU@MIA 04/19/2021 08:00PM ET,HOU,40.14
PG/SG,Jrue Holiday (17150642),Jrue Holiday,17150642,PG/SG/G/UTIL,8300,PHO@MIL 04/19/2021 08:00PM ET,MIL,35.51
SG/SF,Khris Middleton (17150658),Khris Middleton,17150658,SG/SF/F/G/UTIL,8200,PHO@MIL 04/19/2021 08:00PM ET,MIL,38.65
C,Bam Adebayo (17150930),Bam Adebayo,17150930,C/UTIL,8100,HOU@MIA 04/19/2021 08:00PM ET,MIA,42.28
SF,DeMar DeRozan (17150646),DeMar DeRozan,17150646,SF/F/UTIL,8000,SA@IND 04/19/2021 08:00PM ET,SA,39.35
PG,John Wall (17150655),John Wall,17150655,PG/G/UTIL,7900,HOU@MIA 04/19/2021 08:00PM ET,HOU,38.05
PG,Chris Paul (17150593),Chris Paul,17150593,PG/G/UTIL,7900,PHO@MIL 04/19/2021 08:00PM ET,PHO,37.81
PG/SG,Shai Gilgeous-Alexander (17150948),Shai Gilgeous-Alexander,17150948,PG/SG/G/UTIL,7800,OKC@WAS 04/19/2021 08:00PM ET,OKC,41
PG,Malcolm Brogdon (17150710),Malcolm Brogdon,17150710,PG/G/UTIL,7600,SA@IND 04/19/2021 08:00PM ET,IND,39.36
SG,Caris LeVert (17150746),Caris LeVert,17150746,SG/G/UTIL,7500,SA@IND 04/19/2021 08:00PM ET,IND,35
PG,Dejounte Murray (17150870),Dejounte Murray,17150870,PG/G/UTIL,7300,SA@IND 04/19/2021 08:00PM ET,SA,35.77
SG/SF,Luguentz Dort (17150990),Luguentz Dort,17150990,SG/SF/F/G/UTIL,7000,OKC@WAS 04/19/2021 08:00PM ET,OKC,23.91
PG/SG,Kevin Porter Jr. (17150997),Kevin Porter Jr.,17150997,PG/SG/G/UTIL,7000,HOU@MIA 04/19/2021 08:00PM ET,HOU,31.48
C,Kelly Olynyk (17150668),Kelly Olynyk,17150668,C/UTIL,6900,HOU@MIA 04/19/2021 08:00PM ET,HOU,26.99
PG/SG,Victor Oladipo (17150693),Victor Oladipo,17150693,PG/SG/G/UTIL,6900,HOU@MIA 04/19/2021 08:00PM ET,MIA,36.24
C,Deandre Ayton (17150940),Deandre Ayton,17150940,C/UTIL,6800,PHO@MIL 04/19/2021 08:00PM ET,PHO,33.91
SF/PF,Jae'Sean Tate (17150828),Jae'Sean Tate,17150828,SF/PF/F/UTIL,6600,HOU@MIA 04/19/2021 08:00PM ET,HOU,24.57
PG/SG,Derrick White (17150788),Derrick White,17150788,PG/SG/G/UTIL,6500,SA@IND 04/19/2021 08:00PM ET,SA,27.13
PF,Darius Bazley (17151006),Darius Bazley,17151006,PF/F/UTIL,6400,OKC@WAS 04/19/2021 08:00PM ET,OKC,26.15
C,Moses Brown (17150995),Moses Brown,17150995,C/UTIL,6200,OKC@WAS 04/19/2021 08:00PM ET,OKC,23.04
